FID,Id,ORIG_FID,x,y,elevation,basin
80,0,3,1386829.072979999900000,1136291.777980000000000,4193.1401367,15805
81,0,3,1386736.842269999900000,1136156.144570000000000,4170.5097656,15462
82,0,3,1386647.866750000000000,1136021.596230000000000,4163.0498047,15462
83,0,3,1387826.644050000000000,1137543.305429999900000,4164.7700195,15312
84,0,3,1387733.166350000100000,1137447.980220000000000,4160.3398438,15312
85,0,3,1387668.062310000000000,1137376.365780000100000,4153.8500977,15312
86,0,3,1387587.333300000100000,1137287.824289999900000,4132.7597656,15312
87,0,3,1387563.895850000000000,1137237.043140000000000,4139.9301758,15312
88,0,3,1387597.749950000100000,1137144.595410000100000,4167.7597656,15312
89,0,3,1387518.323020000000000,1137109.439229999900000,4157.1499023,15312
90,0,3,1387461.031470000000000,1137033.918550000100000,4162.5297852,15312
91,0,3,1387390.719109999900000,1137006.574850000000000,4167.1201172,15312
92,0,3,1387299.573460000100000,1137010.481089999900000,4167.3300781,15312
93,0,3,1387198.011170000100000,1137022.199820000000000,4165.1401367,15312
94,0,3,1387104.261350000000000,1136976.627000000100000,4173.9301758,15312
95,0,3,1387005.303219999900000,1136963.606190000000000,4183.8798828,15312
96,0,3,1387017.021939999900000,1137079.491369999900000,4174.2998047,15312
97,0,3,1387017.021939999900000,1137239.647300000100000,4170.8398438,15312
98,0,3,1386964.938709999900000,1137332.095030000000000,4171.7797852,15312
99,0,3,1386869.886819999900000,1137451.886460000000000,4177.2700195,15312
100,0,3,1386802.178619999900000,1137552.146680000000000,4170.8901367,15312
101,0,3,1386763.116200000000000,1137576.886209999900000,4173.1899414,15312
102,0,3,1386625.095640000000000,1137606.834070000100000,4171.7099609,15312
103,0,3,1386549.574960000100000,1137582.094529999900000,4171.1601563,15312
104,0,3,1386352.960770000000000,1137474.021830000000000,4160.3198242,15462
105,0,3,1386184.992360000000000,1137385.480340000000000,4141.6000977,15462
106,0,3,1386091.242550000100000,1137336.001280000000000,4128.6201172,15462
107,0,3,1385933.690780000100000,1137251.366029999900000,4114.2001953,15462
108,0,3,1385860.774260000100000,1137229.230659999900000,4107.2299805,15462
109,0,3,1385686.295440000000000,1137277.407640000100000,4087.8898926,15462
110,0,3,1385600.358109999900000,1137273.501400000000000,4082.5400391,15462
111,0,3,1385434.993860000000000,1137208.397369999900000,4075.2700195,15462
112,0,3,1385282.650410000000000,1137234.438980000100000,4074.5600586,15462
113,0,3,1385147.234020000100000,1137393.292829999900000,4048.2500000,15462
114,0,3,1385097.754950000000000,1137412.824040000100000,4047.2900391,15462
115,0,3,1384946.713580000000000,1137386.782420000100000,4045.4499512,15462
116,0,3,1384849.057530000100000,1137317.772150000100000,4039.3798828,15462
117,0,3,1384734.474429999900000,1137220.116089999900000,4027.1201172,15462
118,0,3,1384686.297440000100000,1137123.762120000100000,4023.1298828,15462
119,0,3,1393692.536660000000000,1139227.165030000000000,4286.2900391,15184
120,0,3,1393646.963830000000000,1139159.456830000000000,4294.0297852,15372
